subj_idx,group_idx,turn_type,task_type,snr_type,trial_num,step_att,response,rt,step_unatnd
3,Left,Sham,Tone,Clear,55,2,0,0.671322900001542,4
3,Left,Sham,Tone,Clear,56,1,0,0.641420100000687,3
3,Left,Sham,Tone,Clear,57,3,1,0.830639599997085,3
3,Left,Sham,Tone,Clear,58,3,1,0.722837200009963,1
3,Left,Sham,Tone,Clear,59,2,0,0.524798200000077,2
3,Left,Sham,Tone,Clear,60,5,1,0.595856100000674,1
3,Left,Sham,Tone,Clear,61,4,1,0.615483999994467,4
3,Left,Sham,Tone,Clear,62,3,0,0.77631209998799,4
3,Left,Sham,Tone,Clear,63,5,1,0.63033839999116,3
3,Left,Sham,Tone,Clear,64,5,1,0.491672100004507,3
3,Left,Sham,Tone,Clear,65,3,1,0.425870500010205,5
3,Left,Sham,Tone,Clear,66,3,1,0.61336129999836,2
3,Left,Sham,Tone,Clear,67,2,0,0.71832459999132,4
3,Left,Sham,Tone,Clear,68,1,0,0.641126899994561,1
3,Left,Sham,Tone,Clear,69,4,1,0.557766999991145,5
3,Left,Sham,Tone,Clear,70,1,0,0.637940999993589,5
3,Left,Sham,Tone,Clear,71,2,0,0.68452690000413,5
3,Left,Sham,Tone,Clear,72,3,1,0.553168400001596,3
3,Left,Sham,Tone,Clear,73,3,1,0.671174000002793,5
3,Left,Sham,Tone,Clear,74,4,1,0.63028490000579,2
3,Left,Sham,Tone,Clear,75,4,1,0.509219500003383,3
3,Left,Sham,Tone,Clear,76,1,0,0.640241999994032,3
3,Left,Sham,Tone,Clear,77,3,1,0.704498600010993,2
3,Left,Sham,Tone,Clear,78,1,0,0.634491999997408,4
3,Left,Sham,Cons,Clear,1,2,0,0.597330700009479,1
3,Left,Sham,Cons,Clear,2,2,0,0.707965300010983,3
3,Left,Sham,Cons,Clear,3,3,0,0.626775099997758,4
3,Left,Sham,Cons,Clear,4,3,1,0.578291300000274,3
3,Left,Sham,Cons,Clear,5,1,0,0.985092699993402,3
3,Left,Sham,Cons,Clear,6,3,0,0.691857300000265,3
3,Left,Sham,Cons,Clear,7,2,1,0.576199700008146,3
3,Left,Sham,Cons,Clear,8,1,1,0.666628200007835,2
3,Left,Sham,Cons,Clear,9,5,1,0.628792400006205,2
3,Left,Sham,Cons,Clear,10,4,1,0.630625399993733,5
3,Left,Sham,Cons,Clear,11,5,1,0.594637599991984,5
3,Left,Sham,Cons,Clear,12,3,1,0.5454555000033,5
3,Left,Sham,Cons,Clear,13,1,0,0.667025400005514,4
3,Left,Sham,Cons,Clear,14,4,1,0.585188500001095,4
3,Left,Sham,Cons,Clear,15,4,1,0.653299500001594,1
3,Left,Sham,Cons,Clear,16,3,1,0.648304300004384,5
3,Left,Sham,Cons,Clear,17,1,0,0.611649700003909,1
3,Left,Sham,Cons,Clear,18,2,0,0.692313799998374,2
3,Left,Sham,Cons,Clear,19,3,1,0.584456800002954,2
3,Left,Sham,Cons,Clear,20,2,0,0.781552200001897,4
3,Left,Sham,Cons,Clear,21,2,1,0.525796499990975,5
3,Left,Sham,Cons,Clear,22,4,1,0.704144699993776,2
3,Left,Sham,Cons,Clear,23,4,1,0.632529700000305,4
3,Left,Sham,Cons,Clear,24,2,0,0.864615900005447,4
3,Left,Sham,Cons,Clear,25,4,1,0.603450200011139,3
3,Left,Sham,Cons,Clear,26,2,1,0.645934399988619,2
3,Left,Sham,Cons,Clear,27,5,1,0.611262499995064,1
